Project,RiskID,WBS,ProjectTime,RiskDescription,Variable1,FreqMax,FreqMin,Variable2,Expression,Results
Drug Discovery,1,Research,1460,Unsuccessful clinical trials,"NORM(200,1)",600,50,"NORM(1E6,2E5)",Variable1 * Variable2,"(Mean: 199930604.21780673, Mode: No unique mode, Median: 199950082.59506422, Max: 360273272.88971806, Min: 28638734.667139936, Range: 331634538.2225781)"
Drug Discovery,2,Research,1460,Patent issues,"NORM(300,50)",900,100,"NORM(5E5,1E5)",Variable1 * Variable2,"(Mean: 149833760.34276086, Mode: No unique mode, Median: 147444108.14149278, Max: 346199147.8698058, Min: 17752858.736652482, Range: 328446289.1331533)"
Drug Discovery,3,Development,1460,Regulatory delays,"NORM(250,40)",700,100,"NORM(8E5,1E5)",Variable1 * Variable2,"(Mean: 199798623.74116796, Mode: No unique mode, Median: 197886713.56710303, Max: 453177767.25535554, Min: 51155795.63839139, Range: 402021971.61696416)"
Drug Discovery,4,Pre-Clinical,1460,Ethical concerns,"NORM(300,30)",900,150,"NORM(6E5,1E5)",Variable1 * Variable2,"(Mean: 180088974.99680036, Mode: No unique mode, Median: 178793377.23504204, Max: 351326717.6331561, Min: 44017387.16229829, Range: 307309330.47085786)"
Drug Discovery,5,Research,1460,Inadequate funding,"NORM(180,20)",500,50,"NORM(7E5,1E5)",Variable1 * Variable2,"(Mean: 125923501.20707168, Mode: No unique mode, Median: 124970871.84848991, Max: 252773425.8482711, Min: 47763539.22038084, Range: 205009886.62789026)"
Drug Discovery,6,Development,1460,Resource allocation issues,"NORM(220,30)",650,100,"NORM(4E5,1E5)",Variable1 * Variable2,"(Mean: 87936976.36624831, Mode: No unique mode, Median: 86632793.27497701, Max: 224810363.62838736, Min: -3008206.0159430355, Range: 227818569.64433038)"
Drug Discovery,7,Pre-Clinical,1460,Data integrity issues,"NORM(270,40)",800,100,"NORM(5E5,1E5)",Variable1 * Variable2,"(Mean: 135095223.75549105, Mode: No unique mode, Median: 133122266.44084814, Max: 318633755.19562894, Min: 23387311.34124128, Range: 295246443.85438764)"
Drug Discovery,8,Research,1460,Personnel turnover,"NORM(230,20)",700,100,"NORM(3E5,1E5)",Variable1 * Variable2,"(Mean: 69031618.82460676, Mode: No unique mode, Median: 68496865.15777363, Max: 178558130.18012023, Min: -35471718.293552205, Range: 214029848.47367245)"
Drug Discovery,9,Pre-Clinical,1460,Animal model failure,"NORM(250,30)",750,100,"NORM(4E5,1E5)",Variable1 * Variable2,"(Mean: 99972071.10060656, Mode: No unique mode, Median: 98757605.7200805, Max: 269049472.5398975, Min: -6140911.13018689, Range: 275190383.6700844)"
Drug Discovery,10,Development,1460,Inadequate test results,"NORM(240,40)",700,100,"NORM(5E5,1E5)",Variable1 * Variable2,"(Mean: 119898537.13890243, Mode: No unique mode, Median: 117903697.68506645, Max: 298342139.10959166, Min: 14290625.391623035, Range: 284051513.71796864)"
